corruption,./results/mnist/May29_2049_cnn_res4_run1/best_epoch11_0.9999.pt,./results/mnist/May29_2103_cnn_res4_run2/best_epoch11_0.9999.pt,./results/mnist/May29_2117_cnn_res4_run3/best_epoch8_0.9999.pt,./results/mnist/May29_2130_cnn_res4_run4/best_epoch19_1.0000.pt,./results/mnist/May29_2148_cnn_res4_run5/best_epoch9_0.9999.pt
identity,99.11999702453613,99.24999475479126,99.26999807357788,99.18999671936035,99.24999475479126
shot_noise,98.48999977111816,98.50999712944031,98.60999584197998,98.56999516487122,98.33999872207642
impulse_noise,94.66999769210815,95.92999815940857,95.6499993801117,96.10999822616577,94.8699951171875
glass_blur,95.2299952507019,95.11999487876892,94.6899950504303,94.69999670982361,95.26000022888184
motion_blur,95.29999494552612,96.8999981880188,96.5399980545044,96.73999547958374,97.15999960899353
shear,98.04999828338623,98.01999926567078,98.09999465942383,98.07999730110168,98.1499969959259
scale,95.56999802589417,95.55999636650085,94.88999843597412,95.03999948501587,95.72999477386475
rotate,92.86999702453613,92.97999739646912,93.14999580383301,92.83999800682068,92.71999597549438
brightness,45.319998264312744,57.409995794296265,56.08999729156494,48.29999804496765,53.049999475479126
translate,64.96999859809875,64.01000022888184,64.37999606132507,66.20999574661255,66.25999808311462
stripe,52.880001068115234,46.41999900341034,51.85999870300293,47.94999957084656,55.229997634887695
fog,27.289998531341553,29.13999855518341,25.549998879432678,22.100000083446503,28.759998083114624
spatter,96.69999480247498,97.079998254776,97.1299946308136,97.50999808311462,97.15999960899353
dotted_line,93.66999864578247,94.77999806404114,93.41999888420105,94.00999546051025,94.47000026702881
zigzag,88.2699966430664,89.13999795913696,87.05999851226807,88.95999789237976,87.5
canny_edges,66.92000031471252,64.56999778747559,64.4599974155426,67.48999953269958,66.61999821662903
,81.58249780535698,82.17624761164188,81.92812222987413,81.48749759420753,82.53312297165394
