corruption,./results/mnist/Apr29_0213_clean_wd_run1/best_epoch75_acc0.9981.pt,./results/mnist/Apr29_0247_clean_wd_run2/best_epoch81_acc0.9987.pt,./results/mnist/Apr29_0322_clean_wd_run3/best_epoch88_acc0.9987.pt,./results/mnist/Apr29_0400_clean_wd_run4/best_epoch62_acc0.9980.pt,./results/mnist/Apr29_0429_clean_wd_run5/best_epoch71_acc0.9987.pt
identity,99.02000427246094,99.0900057554245,99.1200041770935,99.04000461101532,99.07000422477722
shot_noise,93.53000462055206,93.59000384807587,94.22000408172607,92.75000512599945,93.20000469684601
impulse_noise,89.16000485420227,91.67000472545624,89.87000405788422,90.71000456809998,91.90000534057617
glass_blur,84.94000375270844,80.63000440597534,85.35000383853912,83.72000396251678,81.98000431060791
motion_blur,93.46000492572784,92.53000438213348,94.88000452518463,94.41000401973724,91.88000440597534
shear,97.55000412464142,97.79000461101532,97.94000446796417,97.65000462532043,97.59000420570374
scale,94.63000476360321,94.97000396251678,94.83000457286835,94.9500048160553,93.98000478744507
rotate,91.75000429153442,91.76000356674194,92.28000402450562,91.73000454902649,92.2100043296814
brightness,98.62000405788422,98.60000371932983,98.58000457286835,98.60000431537628,98.50000500679016
translate,48.520002365112305,48.95000249147415,50.91000199317932,49.1400021314621,49.71000254154205
stripe,78.0400037765503,79.86000418663025,76.2600028514862,67.92000234127045,82.05000400543213
fog,91.75000369548798,81.14000380039215,85.73000371456146,94.70000445842743,66.81000292301178
spatter,98.21000456809998,98.26000392436981,98.27000558376312,98.41000378131866,98.10000479221344
dotted_line,98.47000420093536,98.48000466823578,98.50000441074371,98.39000463485718,98.22000503540039
zigzag,95.65000414848328,95.76000571250916,95.63000440597534,95.24000406265259,95.52000522613525
canny_edges,64.67000186443329,52.32000321149825,56.570003032684326,58.900002837181084,63.09000313282013
,88.62312901765108,87.21250418573618,88.05875401943922,87.8912540525198,87.11312931030989
