corruption,./results/mnist/Apr25_0202_clean_run1/archive_model_epoch50_acc0.9973.pt,./results/mnist/Apr25_0220_clean_run2/archive_model_epoch50_acc0.9976.pt,./results/mnist/Apr25_0238_clean_run3/archive_model_epoch50_acc0.9972.pt,./results/mnist/Apr25_0255_clean_run4/archive_model_epoch50_acc0.9971.pt,./results/mnist/Apr25_0313_clean_run5/archive_model_epoch50_acc0.9976.pt
identity,99.02000546455383,99.000004529953,98.99000525474548,98.97000432014465,99.000004529953
shot_noise,93.22000503540039,94.57000434398651,94.57000434398651,95.010005235672,93.61000418663025
impulse_noise,89.17000412940979,93.15000474452972,91.64000391960144,90.02000391483307,92.71000385284424
glass_blur,84.73000407218933,80.79000413417816,84.11000370979309,88.11000466346741,85.59000492095947
motion_blur,95.25000512599945,89.9200040102005,94.26000416278839,93.9400041103363,91.74000442028046
shear,97.41000473499298,97.55000412464142,97.70000457763672,97.38000452518463,97.69000470638275
scale,93.57000410556793,93.58000457286835,93.83000433444977,93.13000500202179,94.55000340938568
rotate,91.56000435352325,91.69000446796417,92.28000462055206,91.54000341892242,91.94000542163849
brightness,98.72000396251678,98.5800039768219,98.71000409126282,98.57000470161438,98.71000409126282
translate,47.460001707077026,47.980001866817474,48.920001685619354,46.8200021982193,47.48000204563141
stripe,79.29000318050385,73.83000373840332,84.34000372886658,86.19000375270844,76.72000288963318
fog,86.35000467300415,54.59000289440154,82.17000424861908,94.28000509738922,77.4500036239624
spatter,98.5200047492981,98.15000414848328,98.26000511646271,98.41000497341156,98.30000460147858
dotted_line,98.45000505447388,98.23000490665436,98.30000519752502,98.33000361919403,98.3700042963028
zigzag,95.69000482559204,95.97000360488892,95.11000454425812,95.19000351428986,96.10000491142273
canny_edges,54.51000392436981,61.77000343799591,58.27000319957734,56.8200021982193,59.25000309944153
,87.68250431865454,85.58437896892428,88.21625417098403,88.91937907785177,87.45062906295061
