corruption,./results/mnist/Aug14_0508_hsf_res4_run1/best_epoch32_acc1.0000.pt,./results/mnist/Aug14_0525_hsf_res4_run2/best_epoch25_acc1.0000.pt,./results/mnist/Aug14_0540_hsf_res4_run3/best_epoch27_acc1.0000.pt,./results/mnist/Aug14_0556_hsf_res4_run4/best_epoch30_acc1.0000.pt,./results/mnist/Aug14_0612_hsf_res4_run5/best_epoch28_acc1.0000.pt
identity,3.5227999687194824,3.1176998615264893,3.3820998668670654,2.8569998741149902,3.222299814224243
shot_noise,2.692999839782715,1.9634000062942505,2.2518999576568604,1.8423999547958374,2.067499876022339
impulse_noise,3.7552998065948486,3.265899896621704,3.3187999725341797,3.140199899673462,3.319499969482422
glass_blur,2.841399908065796,2.246799945831299,2.3785998821258545,2.068199872970581,2.316200017929077
motion_blur,2.913599967956543,2.0311999320983887,2.448899984359741,2.2437000274658203,2.1747000217437744
shear,1.9794999361038208,1.7791999578475952,1.9321999549865723,1.7496999502182007,1.858299970626831
scale,1.788100004196167,1.486299991607666,1.8772000074386597,1.4596999883651733,1.4688999652862549
rotate,2.95169997215271,2.5518999099731445,2.7690999507904053,2.364799976348877,2.6621999740600586
brightness,4.100299835205078,3.9061999320983887,4.0453996658325195,3.746500015258789,3.900399923324585
translate,2.972599983215332,3.0200998783111572,3.188199996948242,3.087399959564209,2.925299882888794
stripe,3.62749981880188,3.7939000129699707,3.309499979019165,3.785399913787842,3.6173999309539795
fog,4.230000019073486,3.8568999767303467,4.1092000007629395,3.914099931716919,3.8860998153686523
spatter,3.460899829864502,2.973099946975708,3.2664999961853027,2.7426998615264893,3.1159000396728516
dotted_line,3.659799814224243,3.2039999961853027,3.487799882888794,3.079699993133545,3.3217999935150146
zigzag,3.7600998878479004,3.401899814605713,3.483799934387207,3.2699999809265137,3.4312000274658203
canny_edges,2.513200044631958,2.275899887084961,2.2089998722076416,2.305799961090088,2.1686999797821045
